in:Index,out:EveningMaxSunhoursLoss,out:EveningTotalSunhoursLoss,out:MaxSunhoursLoss,out:TotalSunhoursLoss,out:Volume,img_1,img_2
0,11,7974,18,17936,"594,333",{0;0}_SiteColibriView.png,{0;0}_SiteColibriView2.png
1,9,5471,16,14171,"690,000",{0;1}_SiteColibriView.png,{0;1}_SiteColibriView2.png
2,11,7372,16,19026,"615,667",{0;2}_SiteColibriView.png,{0;2}_SiteColibriView2.png
3,10,7209,15,17008,"604,667",{0;3}_SiteColibriView.png,{0;3}_SiteColibriView2.png
4,11,6237,16,14878,"663,333",{0;4}_SiteColibriView.png,{0;4}_SiteColibriView2.png
5,11,5956,14,14416,"676,333",{0;5}_SiteColibriView.png,{0;5}_SiteColibriView2.png
6,11,6612,15,17209,"632,667",{0;6}_SiteColibriView.png,{0;6}_SiteColibriView2.png
7,11,7189,16,16705,"579,333",{0;7}_SiteColibriView.png,{0;7}_SiteColibriView2.png
8,11,6518,18,16318,"594,333",{0;8}_SiteColibriView.png,{0;8}_SiteColibriView2.png
9,11,8665,18,21254,"574,333",{0;9}_SiteColibriView.png,{0;9}_SiteColibriView2.png
10,11,6415,16,15376,"610,333",{0;10}_SiteColibriView.png,{0;10}_SiteColibriView2.png
11,11,7248,16,17818,"594,333",{0;11}_SiteColibriView.png,{0;11}_SiteColibriView2.png
12,12,7166,16,18551,"621,333",{0;12}_SiteColibriView.png,{0;12}_SiteColibriView2.png
13,12,7335,18,18088,"510,333",{0;13}_SiteColibriView.png,{0;13}_SiteColibriView2.png
14,11,5274,16,13128,"610,333",{0;14}_SiteColibriView.png,{0;14}_SiteColibriView2.png
15,11,5976,16,15315,"621,333",{0;15}_SiteColibriView.png,{0;15}_SiteColibriView2.png
16,11,7743,20,19229,"579,333",{0;16}_SiteColibriView.png,{0;16}_SiteColibriView2.png
17,11,7178,18,18346,"547,000",{0;17}_SiteColibriView.png,{0;17}_SiteColibriView2.png
18,12,6465,15,16028,"663,333",{0;18}_SiteColibriView.png,{0;18}_SiteColibriView2.png
19,11,5967,14,14044,"632,667",{0;19}_SiteColibriView.png,{0;19}_SiteColibriView2.png
20,10,6774,16,15836,"610,333",{0;20}_SiteColibriView.png,{0;20}_SiteColibriView2.png
21,12,6382,16,15138,"638,667",{0;21}_SiteColibriView.png,{0;21}_SiteColibriView2.png
22,9,6838,20,18922,"594,333",{0;22}_SiteColibriView.png,{0;22}_SiteColibriView2.png
23,9,6957,18,15886,"627,000",{0;23}_SiteColibriView.png,{0;23}_SiteColibriView2.png
24,11,7032,18,17078,"565,000",{0;24}_SiteColibriView.png,{0;24}_SiteColibriView2.png
25,11,8285,18,20816,"551,333",{0;25}_SiteColibriView.png,{0;25}_SiteColibriView2.png
26,11,7467,18,16942,"657,000",{0;26}_SiteColibriView.png,{0;26}_SiteColibriView2.png
27,9,7412,17,17654,"632,667",{0;27}_SiteColibriView.png,{0;27}_SiteColibriView2.png
28,11,7543,17,18634,"599,667",{0;28}_SiteColibriView.png,{0;28}_SiteColibriView2.png
29,11,6209,17,16373,"594,333",{0;29}_SiteColibriView.png,{0;29}_SiteColibriView2.png
30,12,7430,16,18865,"610,333",{0;30}_SiteColibriView.png,{0;30}_SiteColibriView2.png
31,11,7294,17,19516,"574,333",{0;31}_SiteColibriView.png,{0;31}_SiteColibriView2.png
32,11,6690,16,15584,"579,333",{0;32}_SiteColibriView.png,{0;32}_SiteColibriView2.png
33,11,4345,15,10128,"750,333",{0;33}_SiteColibriView.png,{0;33}_SiteColibriView2.png
34,11,6551,16,15422,"569,667",{0;34}_SiteColibriView.png,{0;34}_SiteColibriView2.png
35,11,5886,16,14538,"604,667",{0;35}_SiteColibriView.png,{0;35}_SiteColibriView2.png
36,11,7674,19,18136,"560,333",{0;36}_SiteColibriView.png,{0;36}_SiteColibriView2.png
37,11,8603,15,20181,"599,667",{0;37}_SiteColibriView.png,{0;37}_SiteColibriView2.png
38,11,7078,18,18489,"526,000",{0;38}_SiteColibriView.png,{0;38}_SiteColibriView2.png
39,11,8263,18,19641,"560,333",{0;39}_SiteColibriView.png,{0;39}_SiteColibriView2.png
40,11,5166,15,13198,"650,667",{0;40}_SiteColibriView.png,{0;40}_SiteColibriView2.png
