in:Index,out:Result,out:EveningAverageSunhoursLoss,out:MaxSunhoursLoss,out:AverageSunhoursLoss,out:Volume,img
0,2.75,0.224342,18,0.504614,186950.831931,{0;0}_OptimizationIsoViewSW.png
1,2.25,0.153922,16,0.398689,161030.595813,{0;1}_OptimizationIsoViewSW.png
2,2.75,0.207405,16,0.53528,180472.838838,{0;2}_OptimizationIsoViewSW.png
3,2.5,0.202819,15,0.478506,183755.972069,{0;3}_OptimizationIsoViewSW.png
4,2.75,0.175473,16,0.41858,167504.187605,{0;4}_OptimizationIsoViewSW.png
5,2.75,0.167567,14,0.405582,164284.540825,{0;5}_OptimizationIsoViewSW.png
6,2.75,0.186023,15,0.48416,175623.463295,{0;6}_OptimizationIsoViewSW.png
7,2.75,0.202256,16,0.469981,191791.331032,{0;7}_OptimizationIsoViewSW.png
8,2.75,0.183378,18,0.459093,186950.831931,{0;8}_OptimizationIsoViewSW.png
9,2.75,0.243782,18,0.597963,193461.017605,{0;9}_OptimizationIsoViewSW.png
10,2.75,0.180481,16,0.432591,182049.881668,{0;10}_OptimizationIsoViewSW.png
11,2.75,0.203916,16,0.501294,186950.831931,{0;11}_OptimizationIsoViewSW.png
12,3,0.201609,16,0.521916,178826.895565,{0;12}_OptimizationIsoViewSW.png
13,3,0.206364,18,0.50889,217722.62138,{0;13}_OptimizationIsoViewSW.png
14,2.75,0.148379,16,0.369345,182049.881668,{0;14}_OptimizationIsoViewSW.png
15,2.75,0.16813,16,0.430874,178826.895565,{0;15}_OptimizationIsoViewSW.png
16,2.75,0.217843,20,0.540991,191791.331032,{0;16}_OptimizationIsoViewSW.png
17,2.75,0.201947,18,0.516149,203128.173878,{0;17}_OptimizationIsoViewSW.png
18,3,0.181887,15,0.450934,167504.187605,{0;18}_OptimizationIsoViewSW.png
19,2.75,0.167876,14,0.395116,175623.463295,{0;19}_OptimizationIsoViewSW.png
20,2.5,0.190581,16,0.445532,182049.881668,{0;20}_OptimizationIsoViewSW.png
